"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"Chao1";"se.chao1";"alpha_shannon";"alpha_simpson";"PD";"SR";"core_abundance"
"controlF_rep1";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";98,1052631578947;8,86008231864718;0,229748836030785;0,0768777131072997;10,005394216;81;0,960401779890714
"controlF_rep2";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";177,04;17,787079348301;0,903618348723251;0,48940408331533;9,323374075;130;0,641478729030771
"controlF_rep3";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";152,714285714286;24,0795368713589;0,240444206070251;0,0700179622874946;9,748085378;97;0,964236316933412
"controlL_rep1";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";431,333333333333;14,6382236315102;2,72465943712485;0,829860333453932;7,5065160755;384;0,000266910699306032
"controlL_rep2";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";551,158536585366;15,6257618824898;3,12924559070526;0,835775555784038;8,1223732265;492;0,00105959142154785
"controlL_rep3";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";446,048387096774;18,1426923736172;3,18229660217434;0,891620504938656;7,5214239305;380;0,00106837606837607
"ControlPE_rep1";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";153,545454545455;27,7587121206299;0,239195097518819;0,0607754077933209;25,97765975;93;0,969096297974363
"ControlPE_rep2";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";91;8,65527572852287;0,20102238008407;0,0491062052277126;17,410239765;76;0,975122610964631
"ControlPE_rep3";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";132;14,3138855755178;1,0373710008353;0,556397594016409;8,747745077;103;0,428490693307568
"ControlPE_rep4";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";112,333333333333;15,0735809913325;3,86124081523646;0,962308242996218;16,394892413;94;0,0875705034468352
"ControlPE_rep5";"female";"female_midgut";"control";"unexposed";"run2";"UNEXP_femaleMID";185,0625;16,0027508828317;0,873018589774681;0,383087092315124;28,955129616;150;0,188185158879659
