"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"se.chao1";"SR";"SampleID";"alpha_type";"alpha_diversity"
"1";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";8,86008231864718;81;"controlF_rep1";"Chao1";98,1052631578947
"2";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";8,86008231864718;81;"controlF_rep1";"alpha_shannon";0,229748836030785
"3";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";8,86008231864718;81;"controlF_rep1";"alpha_simpson";0,0768777131072997
"4";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";8,86008231864718;81;"controlF_rep1";"PD";10,005394216
"5";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";8,86008231864718;81;"controlF_rep1";"core_abundance";0,960401779890714
"6";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";17,787079348301;130;"controlF_rep2";"Chao1";177,04
"7";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";17,787079348301;130;"controlF_rep2";"alpha_shannon";0,903618348723251
"8";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";17,787079348301;130;"controlF_rep2";"alpha_simpson";0,48940408331533
"9";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";17,787079348301;130;"controlF_rep2";"PD";9,323374075
"10";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";17,787079348301;130;"controlF_rep2";"core_abundance";0,641478729030771
"11";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";24,0795368713589;97;"controlF_rep3";"Chao1";152,714285714286
"12";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";24,0795368713589;97;"controlF_rep3";"alpha_shannon";0,240444206070251
"13";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";24,0795368713589;97;"controlF_rep3";"alpha_simpson";0,0700179622874946
"14";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";24,0795368713589;97;"controlF_rep3";"PD";9,748085378
"15";"female";"female_whole";"control";"unexposed";"run1";"UNEXP_female";24,0795368713589;97;"controlF_rep3";"core_abundance";0,964236316933412
"16";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";14,6382236315102;384;"controlL_rep1";"Chao1";431,333333333333
"17";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";14,6382236315102;384;"controlL_rep1";"alpha_shannon";2,72465943712485
"18";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";14,6382236315102;384;"controlL_rep1";"alpha_simpson";0,829860333453932
"19";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";14,6382236315102;384;"controlL_rep1";"PD";7,5065160755
"20";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";14,6382236315102;384;"controlL_rep1";"core_abundance";0,000266910699306032
"21";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";15,6257618824898;492;"controlL_rep2";"Chao1";551,158536585366
"22";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";15,6257618824898;492;"controlL_rep2";"alpha_shannon";3,12924559070526
"23";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";15,6257618824898;492;"controlL_rep2";"alpha_simpson";0,835775555784038
"24";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";15,6257618824898;492;"controlL_rep2";"PD";8,1223732265
"25";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";15,6257618824898;492;"controlL_rep2";"core_abundance";0,00105959142154785
"26";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";18,1426923736172;380;"controlL_rep3";"Chao1";446,048387096774
"27";"larvae";"larvae_whole";"control";"unexposed";"run1";"UNEXP_larvae";18,1426923736172;380;"controlL_rep3";"alpha_shannon";3,18229660217434
