	stage	sample_type	treatment	exposition	run	stage_exp
PE600_rep4	female	female_midgut	600	exposed	run2	EXP_femaleMID
ControlPE_rep5	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
controlF_rep2	female	female_whole	control	unexposed	run1	UNEXP_female
controlL_rep2	larvae	larvae_whole	control	unexposed	run1	UNEXP_larvae
ControlPE_rep6	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
PE60_rep1	female	female_midgut	60	exposed	run2	EXP_femaleMID
PE60_rep2	female	female_midgut	60	exposed	run2	EXP_femaleMID
PE60_rep3	female	female_midgut	60	exposed	run2	EXP_femaleMID
PE60F_rep2	female	female_whole	60	exposed	run1	EXP_female
PE60L_rep2	larvae	larvae_whole	60	exposed	run1	EXP_larvae
PE60F_rep1	female	female_whole	60	exposed	run1	EXP_female
PE60L_rep1	larvae	larvae_whole	60	exposed	run1	EXP_larvae
PE200_rep7	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep8	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep9	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200F_rep2	female	female_whole	200	exposed	run1	EXP_female
PE200L_rep2	larvae	larvae_whole	200	exposed	run1	EXP_larvae
PE600_rep5	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE600_rep6	female	female_midgut	600	exposed	run2	EXP_femaleMID
ControlPE_rep1	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
ControlPE_rep2	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
PE600_rep7	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE600F_rep2	female	female_whole	600	exposed	run1	EXP_female
PE600L_rep2	larvae	larvae_whole	600	exposed	run1	EXP_larvae
ControlPE_rep7	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
PE600_rep8	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE600F_rep3	female	female_whole	600	exposed	run1	EXP_female
PE600L_rep3	larvae	larvae_whole	600	exposed	run1	EXP_larvae
PE60F_rep3	female	female_whole	60	exposed	run1	EXP_female
PE60L_rep3	larvae	larvae_whole	60	exposed	run1	EXP_larvae
PE200_rep10	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep11	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep12	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep13	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep14	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep15	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep16	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE600_rep9	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE200_rep1	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep2	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep3	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep4	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200F_rep3	female	female_whole	200	exposed	run1	EXP_female
PE200L_rep3	larvae	larvae_whole	200	exposed	run1	EXP_larvae
ControlPE_rep8	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
ControlPE_rep9	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
controlF_rep3	female	female_whole	control	unexposed	run1	UNEXP_female
controlL_rep3	larvae	larvae_whole	control	unexposed	run1	UNEXP_larvae
PE600_rep10	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE200F_rep1	female	female_whole	200	exposed	run1	EXP_female
PE200L_rep1	larvae	larvae_whole	200	exposed	run1	EXP_larvae
PE600_rep1	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE200_rep5	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE200_rep6	female	female_midgut	200	exposed	run2	EXP_femaleMID
PE600_rep2	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE600_rep3	female	female_midgut	600	exposed	run2	EXP_femaleMID
PE600F_rep1	female	female_whole	600	exposed	run1	EXP_female
PE600L_rep1	larvae	larvae_whole	600	exposed	run1	EXP_larvae
ControlPE_rep3	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
controlF_rep1	female	female_whole	control	unexposed	run1	UNEXP_female
controlL_rep1	larvae	larvae_whole	control	unexposed	run1	UNEXP_larvae
ControlPE_rep4	female	female_midgut	control	unexposed	run2	UNEXP_femaleMID
standard_run2	standard				run2	
