GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB012296	9	1	8	22	14	6	6	6	9	19	10	0
CQUJHB011260	9	39	29	21	17	22	14	26	18	52	32	20
CQUJHB014409	456	369	370	363	513	331	316	212	230	550	338	496
CQUJHB000339	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003948	35	32	16	14	37	8	15	5	5	12	22	24
CQUJHB014153	83	109	49	53	70	59	70	23	40	54	234	84
CQUJHB005118	5	28	7	1	0	0	0	0	0	3	2	10
CQUJHB002082	72	69	27	54	47	40	73	22	20	52	72	72
CQUJHB008747	28	42	7	42	6	74	16	7	11	30	16	32
CQUJHB009051	6	37	19	17	27	24	23	18	9	10	22	19
CQUJHB006741	163	219	74	142	119	228	141	34	65	154	183	139
CQUJHB002946	18	5	18	43	30	32	4	14	7	48	18	8
CQUJHB014711	4	17	0	6	5	3	0	0	2	0	1	2
CQUJHB013831	38	10	9	17	32	26	12	8	11	2	26	662
CQUJHB005898	0	5	0	0	0	0	0	0	0	0	0	0
CQUJHB000021	57	42	9	23	15	10	7	2	5	5	44	14
CQUJHB009614	31	17	9	8	6	29	21	2	6	31	22	19
CQUJHB013579	73	81	29	64	49	65	84	34	18	48	68	82
CQUJHB009788	871	750	430	773	585	705	894	356	285	409	618	594
CQUJHB006430	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000078	1	0	0	1	7	0	0	0	0	0	6	0
CQUJHB009699	15	51	16	54	49	29	11	12	16	19	42	28
CQUJHB017371	22	7	0	20	16	6	0	5	0	34	31	5
CQUJHB008307	50	92	16	63	39	17	36	7	23	48	58	45
CQUJHB009712	107	66	20	51	28	59	55	15	16	33	73	46
CQUJHB011855	24	24	26	36	24	31	25	22	5	13	21	19
CQUJHB002729	230	306	76	201	172	157	205	62	92	340	182	192
CQUJHB001345	9	1	0	0	0	0	0	0	2	0	2	0
CQUJHB006161	13	16	0	1	0	0	0	0	0	0	0	1
CQUJHB012332	0	0	0	0	0	1	0	0	0	0	5	0
CQUJHB016750	1154	1745	443	1098	855	822	904	349	302	1030	1078	2229
CQUJHB001897	903	555	48	592	116	371	161	67	195	100	518	253
CQUJHB007445	0	0	0	0	0	0	0	0	0	0	4	1
CQUJHB014429	2	0	0	0	0	0	0	0	1	7	1	0
CQUJHB017646	870	254	4	216	47	472	143	87	201	59	439	117
CQUJHB015535	82	37	10	28	15	74	25	10	24	24	73	17
CQUJHB002696	5	19	3	4	6	1	4	0	0	4	0	3
CQUJHB000879	30	42	17	20	6	1	14	0	1	8	22	43
CQUJHB016613	13	55	14	20	49	12	18	4	2	22	26	45
CQUJHB002741	55	41	24	44	28	21	40	10	18	45	56	49
CQUJHB005847	232	138	63	140	76	61	60	27	57	98	154	95
CQUJHB017292	3	18	1	11	0	0	3	2	0	0	0	0
CQUJHB003135	54	109	17	41	63	24	38	6	8	32	95	37
CQUJHB007220	111	740	133	163	142	86	181	61	25	295	133	142
CQUJHB000639	86	490	74	202	174	54	123	21	27	82	216	227
CQUJHB009034	7	0	5	6	8	0	9	0	0	6	14	5
CQUJHB016882	215	212	91	226	276	144	183	79	162	205	258	171
CQUJHB010002	171	204	39	127	91	90	60	32	28	51	124	103
CQUJHB011979	108	118	43	90	14	52	41	24	31	64	122	81
CQUJHB001315	21	0	0	3	14	13	13	0	5	7	9	3
CQUJHB004938	122	67	30	74	32	39	64	20	15	49	95	57
CQUJHB005484	49	186	20	42	72	37	28	19	14	23	41	98
CQUJHB011161	7982	7347	2552	6769	4074	4638	5311	2088	2201	5668	6680	4281
CQUJHB003525	62	157	25	41	60	45	62	13	15	27	61	53
CQUJHB008255	9	0	1	2	17	0	5	0	1	0	23	13
CQUJHB003641	2162	1954	934	1697	1906	1357	1922	586	563	1340	1889	1641
