GeneID	controlL_rep2	PE60L_rep2	PE60L_rep1	PE200L_rep2	PE600L_rep2	PE600L_rep3	PE60L_rep3	PE200L_rep3	controlL_rep3	PE200L_rep1	PE600L_rep1	controlL_rep1
CQUJHB012296	23	28	23	8	5	18	171	11	8	75	31	4
CQUJHB011260	25	29	33	43	21	37	25	10	28	51	25	16
CQUJHB014409	512	335	882	171	521	218	713	187	721	1310	922	618
CQUJHB000339	0	0	0	0	1	0	0	0	0	0	0	0
CQUJHB003948	370	56	520	66	130	70	53	86	182	773	317	226
CQUJHB014153	1141	120	969	129	290	242	113	208	243	1881	999	471
CQUJHB005118	7	1	8	4	3	10	1	5	0	12	7	17
CQUJHB002082	249	61	375	87	78	106	120	65	109	379	303	394
CQUJHB008747	82	44	94	37	40	29	34	61	0	145	84	148
CQUJHB009051	172	44	191	61	75	40	53	63	55	247	158	169
CQUJHB006741	327	162	448	171	191	155	214	155	155	502	393	404
CQUJHB002946	30	40	19	27	41	42	32	28	11	67	36	53
CQUJHB014711	1	0	2	0	1	1	6	1	0	8	3	0
CQUJHB013831	142	17	82	9	30	25	15	22	8	119	174	181
CQUJHB005898	2	0	2	0	0	0	0	1	0	4	0	0
CQUJHB000021	173	27	189	92	56	55	41	72	31	184	150	219
CQUJHB009614	57	19	77	27	33	13	21	19	6	91	48	142
CQUJHB013579	105	25	132	32	60	37	57	44	25	142	88	147
CQUJHB009788	887	203	973	288	199	660	360	235	243	1315	568	719
CQUJHB006430	193	732	607	2255	217	1682	1307	211	238	0	283	1194
CQUJHB000078	373	786	510	1340	206	2588	714	601	192	62	131	920
CQUJHB009699	2254	423	5476	227	407	351	1101	554	270	3069	1465	4390
CQUJHB017371	90	89	110	62	80	28	47	67	84	108	124	184
CQUJHB008307	172	84	316	67	136	74	120	86	60	402	240	210
CQUJHB009712	178	446	116	84	125	68	96	311	142	83	274	468
CQUJHB011855	35	29	25	31	9	14	29	12	3	29	15	39
CQUJHB002729	773	661	501	488	429	585	357	806	271	701	424	802
CQUJHB001345	45	1	18	0	0	1	25	1	0	31	9	22
CQUJHB006161	0	0	0	0	1	1	3	0	0	1	0	1
CQUJHB012332	1	1	3	0	0	0	2	1	0	4	2	2
CQUJHB016750	14089	1267	4410	1467	2797	887	2026	2497	1653	5273	4866	8475
CQUJHB001897	6237	14401	4568	21785	6916	14572	4406	11541	2037	3046	1171	5550
CQUJHB007445	223	2816	205	7109	562	728	177	1278	172	25	230	789
CQUJHB014429	419	2173	332	108	154	170	762	2559	427	18	70	1381
CQUJHB017646	341	1911	906	1616	560	814	212	961	228	107	167	1258
CQUJHB015535	112	70	213	88	61	26	33	79	37	174	66	161
CQUJHB002696	76	36	43	34	21	28	30	31	41	90	52	111
CQUJHB000879	42	68	80	99	35	40	15	16	14	95	64	64
CQUJHB016613	96	56	133	195	56	86	39	29	29	205	83	136
CQUJHB002741	125	83	153	83	68	54	53	69	16	169	95	153
CQUJHB005847	648	355	742	323	393	275	368	485	314	818	604	741
CQUJHB017292	319	8	244	27	26	31	9	8	11	878	227	87
CQUJHB003135	2130	663	2395	537	711	544	425	707	569	4615	2541	1301
CQUJHB007220	3685	33	191	227	41	18	10	96	27	436	253	159
CQUJHB000639	2014	265	906	330	445	165	90	225	191	3167	1046	557
CQUJHB009034	78	32	35	12	16	13	21	12	2	47	25	85
CQUJHB016882	626	159	1210	219	180	187	306	139	287	1136	740	1072
